,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.300000000000004,54.400000000000006,48.6,2.3,2.7,2.1,10.862320194139004
address.n,26.8,17.9,52.800000000000004,34.9,27.400000000000002,48.1,30.58300181473362
camp.n,63.5,85.39999999999999,50.6,28.4,43.1,21.099999999999998,42.46645735165579
innovation.n,33.7,22.1,70.89999999999999,27.6,18.8,51.6,30.497868777998246
mind.n,33.300000000000004,53.1,24.2,5.1,8.4,3.5999999999999996,13.031883977384084
park.n,28.000000000000004,19.1,51.9,38.1,30.3,51.300000000000004,32.66190441477656
reputation.n,33.6,33.6,33.6,1.7999999999999998,1.7999999999999998,1.7999999999999998,7.776888838089432
gap.n,17.5,11.1,41.4,14.7,10.8,22.8,16.03901493234544
challenge.n,52.0,51.9,52.1,10.5,12.9,8.799999999999999,23.366642891095847
failure.n,22.400000000000002,16.400000000000002,35.5,22.7,19.3,27.6,22.549501103128645
air.n,40.8,56.00000000000001,32.1,8.7,13.200000000000001,6.5,18.840382161729096
moment.n,35.099999999999994,24.7,60.5,7.3,5.2,12.4,16.007185886344917
tour.n,21.2,15.5,33.300000000000004,26.0,21.6,32.5,23.4776489453267
movement.n,28.1,19.6,49.7,14.7,11.3,21.2,20.324123597341167
body.n,45.300000000000004,56.8,37.6,8.1,11.200000000000001,6.4,19.155416988413485
guarantee.n,24.099999999999998,16.900000000000002,41.8,26.3,20.8,35.699999999999996,25.17598061645266
class.n,23.400000000000002,16.5,40.300000000000004,26.6,22.6,32.300000000000004,24.94874746355015
road.n,47.5,53.2,43.0,7.000000000000001,9.2,5.7,18.23458252881047
speed.n,21.4,13.900000000000002,46.5,8.1,5.800000000000001,13.5,13.165864954495014
foundation.n,21.3,13.100000000000001,56.39999999999999,16.900000000000002,11.799999999999999,29.4,18.972875375124353
idea.n,38.4,50.3,31.1,2.5,3.5000000000000004,1.9,9.797958971132712
entry.n,22.0,14.299999999999999,47.9,23.9,17.9,35.8,22.93032926061028
flight.n,21.099999999999998,14.399999999999999,40.1,19.3,15.2,26.400000000000002,20.179940535095735
origin.n,28.1,18.7,56.699999999999996,40.8,30.599999999999998,61.199999999999996,33.859710571710444
note.n,26.8,19.3,43.6,27.1,23.200000000000003,32.6,26.94958255706385
rally.n,27.900000000000002,17.9,62.8,20.0,13.700000000000001,37.3,23.62202362203543
gas.n,23.599999999999998,14.499999999999998,62.1,10.7,7.3,20.200000000000003,15.890877886385004
chip.n,24.099999999999998,15.8,51.0,18.099999999999998,13.100000000000001,29.4,20.885641000457706
mark.n,31.5,22.2,54.1,25.5,20.1,34.699999999999996,28.341665441536776
margin.n,35.8,56.89999999999999,26.1,12.5,20.0,9.1,21.154195801306177
function.n,18.9,13.600000000000001,31.0,26.6,21.6,34.8,22.421864329265755
legislation.n,20.0,12.7,46.800000000000004,2.0,1.3,3.9,6.324555320336759
screen.n,19.7,14.299999999999999,31.5,31.7,25.900000000000002,40.8,24.9897979183506
commission.n,23.799999999999997,15.1,55.900000000000006,25.4,18.5,40.699999999999996,24.586988428841785
display.n,41.699999999999996,54.300000000000004,33.800000000000004,6.7,9.5,5.2,16.714963356226658
office.n,41.9,49.7,36.3,0.2,0.3,0.2,2.894822965226026
dealer.n,21.9,14.099999999999998,48.4,19.400000000000002,14.099999999999998,31.1,20.61213234966242
community.n,30.5,23.400000000000002,43.9,18.6,15.9,22.5,23.818060374430157
house.n,41.4,33.5,54.1,5.800000000000001,5.4,6.2,15.49580588417395
shape.n,46.6,69.1,35.099999999999994,17.4,27.400000000000002,12.8,28.47525241327985
access.n,26.1,23.400000000000002,29.5,16.400000000000002,14.000000000000002,19.8,20.689127579480004
field.n,39.0,34.599999999999994,44.5,15.6,15.5,15.7,24.66576574931336
edge.n,25.5,18.9,39.2,44.2,38.1,52.6,33.57231001882355
cell.n,21.8,13.8,52.5,24.5,18.5,36.1,23.11060362690685
officer.n,53.0,62.2,46.300000000000004,28.1,35.6,23.200000000000003,38.5914498302409
market.n,49.7,52.0,47.699999999999996,3.1,3.5999999999999996,2.7,12.412493705939996
promotion.n,42.5,56.2,34.2,7.8,11.200000000000001,6.0,18.207141456033124
accounting.n,42.699999999999996,37.8,49.0,28.4,27.500000000000004,29.5,34.82355524641331
television.n,46.1,51.1,42.0,2.0,2.4,1.7999999999999998,9.602083107326242
campaign.n,43.9,49.8,39.300000000000004,2.3,2.9000000000000004,1.9,10.04838295448576
cheat.v,55.300000000000004,48.1,65.0,17.599999999999998,15.2,20.9,31.197435792064706
assemble.v,25.4,16.400000000000002,56.2,17.0,11.4,33.0,20.77979788159644
root.v,54.7,60.3,50.0,36.3,46.400000000000006,29.799999999999997,44.560184021164005
reveal.v,49.0,50.2,47.9,0.3,0.3,0.3,3.8340579025361627
haunt.v,17.299999999999997,10.0,63.6,38.4,25.0,82.69999999999999,25.774405909739215
operate.v,52.6,50.7,54.800000000000004,2.3,2.3,2.4,10.999090871522064
frame.v,40.5,68.10000000000001,28.799999999999997,4.5,7.8,3.2,13.5
assert.v,21.3,15.1,36.0,11.4,8.9,15.6,15.582682695864664
introduce.v,32.1,21.3,65.0,6.7,4.7,11.899999999999999,14.665265084545865
swear.v,20.3,16.1,27.6,31.6,26.900000000000002,38.1,25.327455458454565
bow.v,50.9,42.0,64.4,56.8,50.0,65.8,53.769136128451976
figure.v,61.5,74.2,52.5,29.2,39.1,23.3,42.37688048924791
analyze.v,65.7,54.0,84.1,6.1,4.3,10.7,20.019240744843447
expose.v,20.1,13.100000000000001,43.2,3.8,2.6,7.000000000000001,8.739565206576355
conclude.v,44.2,57.699999999999996,35.8,10.4,14.499999999999998,8.1,21.440149253211835
appeal.v,39.900000000000006,54.2,31.5,3.4000000000000004,4.7,2.6,11.64731728768475
owe.v,20.200000000000003,13.4,41.199999999999996,26.1,19.8,38.3,22.961271741782948
mount.v,27.0,21.4,36.6,47.099999999999994,41.199999999999996,55.1,35.66090296108611
regain.v,55.2,46.300000000000004,68.5,0.8999999999999999,0.7000000000000001,1.0999999999999999,7.048404074682439
relax.v,20.8,13.100000000000001,49.7,15.8,11.4,25.8,18.128430709799456
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,18.8,10.4,95.0,3.4000000000000004,1.7999999999999998,32.800000000000004,7.994998436522675
commit.v,55.50000000000001,52.800000000000004,58.5,4.1000000000000005,4.3,3.9,15.084760521798152
pour.v,42.3,63.0,31.900000000000002,3.8,5.8999999999999995,2.8000000000000003,12.678327965469263
deny.v,21.9,13.100000000000001,66.3,7.9,5.0,18.8,13.153326575433303
lay.v,39.0,49.5,32.300000000000004,1.7000000000000002,2.4,1.3,8.142481194328914
shave.v,66.5,64.4,68.8,6.7,6.5,7.000000000000001,21.108055334397815
weigh.v,32.7,24.2,50.5,48.4,41.9,57.3,39.78291090405528
apply.v,37.6,51.9,29.5,5.3,7.6,4.0,14.116656828017035
level.v,25.0,16.900000000000002,47.599999999999994,49.6,39.6,66.4,35.21363372331802
presume.v,48.1,33.7,83.8,23.0,15.5,44.2,33.2610883766602
wait.v,66.10000000000001,50.1,97.2,0.1,0.1,0.7000000000000001,2.5709920264364885
stick.v,37.0,50.2,29.299999999999997,0.3,0.5,0.2,3.331666249791536
separate.v,61.1,48.9,81.2,12.0,9.6,16.0,27.077666073722085
reap.v,75.3,66.9,86.2,3.4000000000000004,2.5,5.3,16.000624987793447
signal.v,54.50000000000001,63.0,48.0,1.2,1.4000000000000001,1.0999999999999999,8.087026647662292
swim.v,63.3,48.0,92.9,6.0,3.6999999999999997,16.5,19.488458122694055
slow.v,67.60000000000001,55.00000000000001,87.6,0.8999999999999999,0.7000000000000001,1.6,7.8
question.v,38.9,32.300000000000004,48.9,0.8,0.7000000000000001,1.0,5.578530272392541
happen.v,62.7,50.4,82.69999999999999,6.1,4.5,9.6,19.55684023557998
insist.v,50.8,51.5,50.0,0.6,0.7000000000000001,0.6,5.520869496736904
observe.v,38.1,48.5,31.3,0.8999999999999999,1.3,0.7000000000000001,5.85576638878294
lie.v,47.8,34.5,77.9,5.0,3.5000000000000004,8.4,15.459624833740307
deploy.v,56.599999999999994,58.099999999999994,55.1,30.2,30.0,30.3,41.343923374541994
accommodate.v,50.0,63.6,41.199999999999996,27.200000000000003,35.199999999999996,22.1,36.878177829171555
sniff.v,36.8,50.0,29.099999999999998,9.5,13.600000000000001,7.3,18.697593428032388
straighten.v,43.4,66.0,32.300000000000004,5.8999999999999995,10.0,4.2,16.00187489014959
pursue.v,61.7,49.8,81.0,1.0,0.7000000000000001,1.5,7.854934754662192
defend.v,53.1,49.9,56.8,1.7000000000000002,1.6,1.7999999999999998,9.50105257326787
divide.v,46.7,71.39999999999999,34.699999999999996,16.0,30.5,10.8,27.33495930123182
mean,38.675,37.795,49.754000000000005,15.206000000000001,14.128999999999998,19.726,20.280522490113594
